Condensate_Fraction,Beta_phi
0.0,1.07
0.05263157894736842,1.1577419138419136
0.10526315789473684,1.245483827683827
0.15789473684210525,1.3332257415257402
0.21052631578947367,1.4209676553676538
0.2631578947368421,1.5087095692095673
0.3157894736842105,1.5964514830514809
0.3684210526315789,1.684193396893394
0.42105263157894735,1.7719353107353075
0.47368421052631576,1.859677224577221
0.5263157894736842,1.9474191384191346
0.5789473684210527,2.035161052261048
0.631578947368421,2.1229029661029615
0.6842105263157894,2.2106448799448746
0.7368421052631579,2.298386793786788
0.7894736842105263,2.386128707628701
0.8421052631578947,2.4738706214706148
0.894736842105263,2.5616125353125283
0.9473684210526315,2.649354449154442
1.0,2.7370963629963554
